married,union,employed,voted,previousdem,female,age,country,education,lrself,gdpgrowth,inflation,cname,satisdem
0,0,0,1,1,1,81,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,44,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,1,1,1,1,49,"0360",6,2,3.77,5.09,"AUSTRALIA (2007)",2
1,0,1,1,1,0,55,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,49,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,47,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,55,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,32,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",4
1,1,1,1,1,1,62,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,72,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",4
0,0,0,1,1,1,65,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,62,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
